epoch,test_loss,Validation_loss,Validation_dice,Background_dice,Organ_1_Dice,Organ_2_Dice,Organ_3_Dice,Organ_4_Dice
1,0.22816727600672468,0.205680964315931,0.5445955514907836,0.9706451630080812,0.34404330483562273,0.22882542071024506,0.717480855934183,0.47963926874703516
2,0.11999475144603833,0.12112911394176384,0.6899548292160034,0.9775182150715475,0.5854981051480943,0.35936656553862617,0.7734460766238953,0.7631506153428707
3,0.09105446538008119,0.1149978244661664,0.7226775050163269,0.9825280887407158,0.658473545582787,0.41435114136308665,0.751721325768368,0.8145621867484026
4,0.07582591689083883,0.09202982632365699,0.7745720148086548,0.9931262311107455,0.6432081690433344,0.6549587188422825,0.7245303721669457,0.8636620102519996
5,0.06579236814266434,0.09849824644780407,0.7592015981674194,0.9889808842820347,0.6906056200776575,0.5303501925365136,0.7804243134611745,0.8111391397179893
6,0.05958903644790113,0.10008631018456071,0.7931234955787658,0.9946741361470568,0.7214132325421391,0.7152310302593399,0.730043897416879,0.8072858298458424
7,0.05546601921990219,0.14835829923239846,0.756173050403595,0.9942305200318945,0.6326786996192594,0.6849527544239467,0.8607840350765514,0.6105726647371365
8,0.051831236544552114,0.0837560477371638,0.8467355012893677,0.9968988436251525,0.7392633926601286,0.8165366280115294,0.8218840285533066,0.8627650819723864
9,0.048999033888726486,0.08024778485298156,0.8068290233612061,0.99391872560742,0.7340105942054075,0.6784316550465829,0.7592731154355337,0.8717707606148947
10,0.04649156707696199,0.08626114195367943,0.8006344795227051,0.9915629376733133,0.7389325268955916,0.602533809215734,0.833025866353155,0.8405540552804862
11,0.044851671583917396,0.08599715031916276,0.8490782141685486,0.9963843892550136,0.7559661773242621,0.792468087755838,0.8555710570838914,0.8471555985814552
12,0.04324576242679211,0.05812969964463264,0.8722316145896911,0.9975348845255676,0.7570072126196408,0.8431292610850857,0.8522436690568437,0.9130579399513943
13,0.042305343988183385,0.06745248263003305,0.8737644076347351,0.9979664342524378,0.7471780338072721,0.8752609333234023,0.8444845567160406,0.9057629215380851
14,0.04030196131142645,0.07168351016628245,0.8631590843200684,0.9975030268572442,0.7472440503982156,0.8497680951142268,0.8322176358356502,0.890356181355535
15,0.040006756738599256,0.073823982909477,0.8496575832366944,0.9969748921192689,0.7257583874508006,0.8249794936504189,0.8118748278900545,0.8906217512742238
16,0.03799162096387407,0.06790600646131982,0.856010901927948,0.9973255175776308,0.7035973390880196,0.8443007509215127,0.8205436732434986,0.9160753281380319
17,0.037224487629487914,0.06731532896480834,0.8689016103744507,0.9983615137097288,0.7616615103245015,0.9021825205538029,0.7706666843332843,0.9131205771810886
