epoch,test_loss,Validation_loss,Validation_dice,Background_dice,Esophagus_Dice,Heart_Dice,Trachea_Dice,Aorta_Dice
1,0.26499388149851383,0.20121538201346995,0.5604076147079468,0.9676397850567543,0.6302105372464422,0.5215743637200436,0.0,0.6886884127742665
2,0.1131409634765864,0.11399697788680593,0.7929096102714539,0.990539960444283,0.5971653574345284,0.7964903709712489,0.7897578120456363,0.803031057885897
3,0.08506279163351009,0.09746393970679491,0.8049045920372009,0.990566508214647,0.6665936994330002,0.8084691308146453,0.725114616451855,0.846789282814046
4,0.07372823067029691,0.08962892695640524,0.8031755685806274,0.9801500833185657,0.6894770260575065,0.6592378720797795,0.8234576660106386,0.8695322392565931
5,0.06669269329158667,0.08363552400376648,0.8590771317481994,0.9943677933137478,0.7240290178166909,0.8813730688815962,0.8331005018822235,0.8653318826414734
6,0.059639965405650426,0.08911205328069627,0.8369308352470398,0.9900320974459241,0.7232539152897769,0.792390896263524,0.8373368134359851,0.8466707638635528
7,0.056748276537987634,0.07636790276505052,0.8529340147972106,0.9894352037509823,0.751672499160635,0.7939766650468847,0.8526132730882544,0.8799367890354673
8,0.05320218825946493,0.07379273037503783,0.876658809185028,0.9954847971795131,0.7454513189515026,0.8992688438080352,0.8348320600414905,0.9105131238585809
9,0.05196984925278122,0.06471792473612974,0.8637126445770263,0.9910935594905459,0.7272022137601276,0.8219609062345821,0.8618761625638193,0.9183321709277843
10,0.04886758044844176,0.07584021971017743,0.8455402612686157,0.9900764091487602,0.717498549051014,0.8098815043096504,0.8096357419787525,0.9042432332927646
11,0.04711074279940961,0.06325368349906058,0.8830182075500488,0.9948080858812924,0.7469591385256037,0.887233560712547,0.8686958068056437,0.9201749410487343
12,0.04521497384777072,0.06706448658447092,0.8801173686981201,0.9954271747999724,0.7283493787105784,0.9026808666974047,0.8479898719394894,0.9279953198702732
13,0.0446730110957385,0.07504797678052758,0.8582347750663757,0.9944970280741477,0.6950546258642378,0.8654169811023318,0.8423906609776124,0.8987182259914086
14,0.04295733431250659,0.06372380955299983,0.8829173684120178,0.9953670064427882,0.7732850057108622,0.8900845380341241,0.841399148365271,0.9161092808059982
15,0.0416567726589778,0.06797318770317361,0.8618893027305603,0.9915309722347025,0.7367322154054504,0.8222680459118067,0.8446054125281368,0.9155748537852952
16,0.04091915021184487,0.06706471803908547,0.8736332535743714,0.994911838961612,0.743464167042062,0.8917720828952801,0.8279071768719625,0.9120510441397215
17,0.03922992345067806,0.06426627576583996,0.8914881706237793,0.9956462633576193,0.7827196099141106,0.90568586748608,0.869162811049098,0.905260031856314
18,0.0388255246538737,0.06872643406658123,0.8819732785224914,0.9951821937423173,0.7634318691214254,0.8935376862606894,0.853587209281564,0.9052070832103711
19,0.038050627289270895,0.060434519918635486,0.8860304713249206,0.9954259639124234,0.763054214295963,0.9037143220912933,0.8590936304638562,0.9099748465328759
20,0.03726538284288415,0.06383497491789361,0.879489004611969,0.9942387127775506,0.7675218414059131,0.8796752001730539,0.8448389306146851,0.9117481425363859
21,0.0367748791486587,0.05842278374824673,0.8830368041992187,0.9950938871452522,0.7464836586093087,0.8961693109688873,0.855780598645784,0.9229682898433677
22,0.03618938843051474,0.07219734689143176,0.87087482213974,0.9947038327208784,0.7557694306738366,0.8614059360021848,0.8514872685827253,0.8921825269590744
23,0.035305590437983723,0.06331468018082281,0.8808690309524536,0.995445902044397,0.7512780807333644,0.9010291976192312,0.8389827592865414,0.9186664016489422
24,0.03422511670853235,0.06368043820140884,0.8749616265296936,0.9942406517841429,0.7814668679205049,0.8787618425549952,0.8291890743464861,0.8920875951727358
25,0.035222641816976874,0.06122332128152872,0.8826761245727539,0.9945244376885858,0.7594872572791381,0.8911200821503866,0.8440275483807778,0.9248526362411861
26,0.03297361393111132,0.06251805471644427,0.8840012311935425,0.9954896399489419,0.7537495716849829,0.9016787580527567,0.8447201308515261,0.9251049741705539
27,0.03282433805800238,0.057572195030904064,0.886411476135254,0.9961110244048493,0.7874577792571945,0.9197508912396737,0.8062663468981797,0.9232503704385631
28,0.03262540576639099,0.060947126057775074,0.8855982422828674,0.9958470146085595,0.7679627466010873,0.9097784340813091,0.8368975576020882,0.9180221957122224
29,0.03200052017470231,0.061366775999000915,0.8885766863822937,0.9950874448150231,0.7713099968366007,0.8915915808989878,0.8591166135763603,0.9262717555038689
30,0.03154910396277135,0.0622571324921834,0.8898559093475342,0.995866466787553,0.7585164556598076,0.9089625657755409,0.8660032226700137,0.9203308357803985
31,0.030466598924019397,0.06457376703542347,0.8768730521202087,0.9936241845965256,0.7609266813418901,0.8672987450679825,0.8509096282805941,0.9124383943755326
32,0.030165891178462,0.06193971032897631,0.8863037943840026,0.9958379372937072,0.7825882670247475,0.9127799386466183,0.8271308003762933,0.9141299177387573
33,0.02977583881930022,0.07115671501494944,0.8517075419425965,0.9875787164617915,0.753929868555096,0.7477152918592582,0.8534788438133992,0.9166119874782795
34,0.02908066914226629,0.059217734121096634,0.8949101448059082,0.9962475366575694,0.7830269530504396,0.9215368629517572,0.8509060311538306,0.9233829733755655
35,0.02911733873318453,0.05965661459136754,0.8869434833526612,0.9960256412552628,0.7473852435491903,0.9171248517183102,0.8570750940000588,0.9177320175614758
36,0.028659003493303623,0.0625351855601184,0.8777253031730652,0.9941563502609079,0.7659956890790356,0.871316942254549,0.8482171592891227,0.9098858360702644
37,0.028324025056952144,0.060186143987036,0.8879058361053467,0.9953308634694379,0.7817063039713006,0.896890513699133,0.8468972726112968,0.9191342941991859
38,0.027430797185002194,0.060571759449473274,0.8849492907524109,0.9957042539520439,0.7509620513425583,0.9084993547446357,0.8490867484461105,0.9211746196787409
