epoch,test_loss,Validation_loss,Validation_dice,Background_dice,Organ_1_Dice,Organ_2_Dice,Organ_3_Dice,Organ_4_Dice
1,0.32978547222647336,0.2132581534485022,0.5348655104637146,0.9577849665313061,0.4152816732344107,0.231692020541803,0.6372644369595352,0.44482568388192495
2,0.18958598168768775,0.15041900757079324,0.6621461987495423,0.9816369988577739,0.4687401468041926,0.38663191920460144,0.7452476985244963,0.7366146799833003
3,0.1501353893042159,0.11315443916401516,0.7370883226394653,0.9880178362739152,0.611914131365093,0.4924116751396702,0.8023410394094409,0.796746047432941
4,0.1273943126987354,0.13074290635374686,0.7063381552696228,0.982262044022856,0.5962537559620122,0.4060390629774613,0.8058712161000162,0.7453445591778893
5,0.11433116982491569,0.09918165646648655,0.7874309778213501,0.9913163272166476,0.6509104637700203,0.5879613495113263,0.8753048436713053,0.8350883364441017
6,0.1043063196188925,0.12986861905703942,0.7793880939483643,0.9922541024673956,0.6956348011195532,0.6158039130536223,0.8539986175064207,0.7437051155359813
7,0.09538234278265728,0.0966863778885454,0.7541165828704834,0.984302343951416,0.5924774026901298,0.4569367004584837,0.8473596932107533,0.8922633425092213
8,0.0907147335020605,0.0865662765953069,0.8394750118255615,0.9970222446508247,0.7420112406147967,0.8283163755295357,0.823921843589446,0.8100414278548105
9,0.08699425253198269,0.10419239736472567,0.8245749711990357,0.9950297250802868,0.7327002892815248,0.7303124795133382,0.8702930897025165,0.7976839194736194
10,0.08262122387126747,0.10702702780564625,0.7691545248031616,0.9890467387474411,0.7064489475954631,0.5533665754097226,0.8247501557608198,0.7744874073457504
11,0.08011173235680784,0.07326963254017756,0.8504160165786743,0.9974772483157931,0.6765049349133792,0.8507738445167197,0.8331281198211677,0.8966585058855167
12,0.07791982052070759,0.07039784692771112,0.8755800724029541,0.9982882592683252,0.6991760697350294,0.8975029055775726,0.8741498056136564,0.9106086641091814
13,0.07506955082526683,0.07636884642221654,0.8216810941696167,0.9967353172886592,0.724717157714122,0.8132474683586282,0.7075353140624221,0.8700360323178561
14,0.07415471411102895,0.10436158190015704,0.8222275257110596,0.9933417170680663,0.7364989939914883,0.6726635162662115,0.8688697156149651,0.8418807379523642
15,0.07152879864954298,0.09159875332688291,0.8638264536857605,0.9974391132115754,0.7464077040237114,0.8513714832794829,0.8601933792492865,0.8653636529619846
16,0.07050610261043005,0.0789273444438974,0.8634924054145813,0.9977214154556344,0.7099283757648412,0.870715469652129,0.8492679781325936,0.8909554570695715
17,0.06933233425252104,0.07288516677062337,0.8838019609451294,0.9979517906734874,0.7613137709608377,0.8778400456708825,0.8758270908222187,0.9074130429414978
18,0.06754536172602796,0.07811788278554256,0.8721041560173035,0.997837070344783,0.7314912551291048,0.8795338627914834,0.8739425143465349,0.8790053024379612
19,0.06689341583929333,0.06985881097925206,0.880489456653595,0.998434367008666,0.7448260049837353,0.9006257330808676,0.8624758488948461,0.8979151628493746
20,0.06546320721944557,0.06724102385419731,0.8837815284729004,0.9983653442302396,0.75695805790105,0.8945055337342348,0.8607009864393209,0.9093119482960278
21,0.06481686262696776,0.08061182894045488,0.8674907803535461,0.9973010166044171,0.7559002182154414,0.8492698809582302,0.868097884105263,0.8680127923211538
22,0.06320583568777817,0.06752009099349379,0.8800638437271118,0.9974918456726604,0.7574026427531446,0.8566997167677763,0.8799596305704928,0.9100107813956694
23,0.06279420708834013,0.07167391984801119,0.8643292784690857,0.9973015635178907,0.721111477642338,0.8480871041892378,0.8617203470452782,0.8944850652547374
24,0.06214984798669138,0.06546392515301705,0.881002938747406,0.9977208196458633,0.784193999576962,0.8692953540177548,0.8613081861222367,0.8927910476467409
25,0.06069483349967364,0.061005491740846386,0.8732179760932922,0.9972324068491887,0.7584094457731085,0.8448454569529258,0.8649043049619365,0.9015451203674004
26,0.05977385541724092,0.06488276720357437,0.8704649090766907,0.997560274720257,0.7556175697570394,0.8661399226707148,0.8363103339066529,0.8978393830927264
27,0.058841001737157145,0.06050885254439587,0.8983004450798034,0.9986568871946918,0.7777577788483929,0.924972361912505,0.875238131878757,0.915526072724244
28,0.058151626416727456,0.06869985887082293,0.8792286872863769,0.9983450467661168,0.7594964840310169,0.9090480441766571,0.8527649920217639,0.8774829696486585
29,0.0574201079046137,0.06705952757038176,0.8879461526870728,0.9983985698143281,0.7704272227601058,0.9121123454939617,0.8701077469920131,0.889202032464769
